Label,PQ,research_url,Status,"Main data, outcome , or metric category (for PQs)",Method/analyses/expertise used,expertise_field_PQ,suggester_or_vetter,Relevance_rating_for_PQ,PQ_specific_discussion,relevance_rating_DR or PQ_synthesis_rating,working_paper_release_date,management_discuss,publication_status,Relation to specific PQs
Empirical economic analysis shows cost-effective continuous manufacturing of cultivated chicken using animal-free medium,Cell-cultured meat cost and price,https://www.researchgate.net/publication/383304230_Empirical_economic_analysis_shows_cost-effective_continuous_manufacturing_of_cultivated_chicken_using_animal-free_medium,901_PQ_candidate_eval,Price/cost of Cultured Meat,"Techno-economic analysis/BOTEC,Biolab experiment","Techno-economic analysis,Cell engineering,Chemical/Bioprocess Engineer (Scale-up Focus)",Ash Meader,91%,"AM: This is a somewhat recent paper that demonstrates an efficient means of producing cultivated chicken cells. The authors then use the data from this demonstration to assess its cost-effectiveness via a TEA of a hypothetical scaled-up facility. In contrast with much of the previous literature, the authors claim that their process can produce cultivated chicken at competitive prices. Given the unusually optimistic price estimate, an evaluation of this paper would be valuable in determining how much weight should be put on the results.",,,,,
A scoping review of cultivated meat techno-economic analyses to inform future research directions for scaled-up manufacturing,Cell-cultured meat cost and price,https://www.dropbox.com/scl/fi/61qlktoqhq6yevccfawa4/scoping_cultured_meat_goodwin_s43016-024-01061-3.pdf?rlkey=0c0vxwob181zk43ne2vb9uyxs&e=2&dl=0,901_PQ_candidate_eval,Cultured meat production volume,Systematic Review,"General cell agriculture knowledge,Techno-economic analysis",Ash Meader,90%,"AM: This is a more recent paper evaluating and comparing different TEAs that address the cost of cultured meat. Since it was published in 2024, this review can potentially offer some insight into how these TEAs hold up in light of the current state of the CM field.",,,,,
How much will large-scale production of cell-cultured meat cost?,Cell-cultured meat cost and price,https://www.researchgate.net/publication/362764455_How_much_will_large-scale_production_of_cell-cultured_meat_cost,901_PQ_candidate_eval,Price/cost of Cultured Meat,Techno-economic analysis/BOTEC,"Techno-economic analysis,Bioreactor design,General cell agriculture knowledge",Ash Meader,87%,,,,,,
Techno-economic modeling and assessment of cultivated meat: Impact of production bioreactor scale,Cell-cultured meat cost and price,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/10.1002/bit.28324,901_PQ_candidate_eval,Price/cost of Cultured Meat,Techno-economic analysis/BOTEC,"Techno-economic analysis,Bioreactor design,General cell agriculture knowledge",Ash Meader,86%,"AM: The paper examines how different types/scales of bioreactor might influence the final COGS of cultured beef. Given that bioreactor-related costs currently represent a significant share of the production cost of cultured meat, this TEA seems highly relevant to this pivotal question. ",,,,,
Scale-up economics for cultured meat,Cell-cultured meat cost and price,https://www.openphilanthropy.org/wp-content/uploads/Humbird-Scale%E2%80%90up-economics-for-cultured-meat.pdf,901_PQ_candidate_eval,Price/cost of Cultured Meat,Techno-economic analysis/BOTEC,"Techno-economic analysis,Cell engineering,Bioreactor design",Ash Meader,81%,"AM: This TEA seems to have been influential given that some relevant organizations (like GFI and Rethink Priorities) have done analyses of it. Furthermore, some journalistic sources reported on it and continue to reference it as the industry develops. It is a high-quality paper that covers some of the biggest cost drivers and limitations associated with scaled cultured meat production. However, I have given this paper a lower relevance rating because it has already been analyzed by so many other sources, and I’m not sure that an additional evaluation would bring much extra value (especially given that newer studies are available).",,,,,
Preliminary Techno-Economic Assessment of Animal Cell-Based Meat,Cell-cultured meat cost and price,https://www.mdpi.com/2304-8158/10/1/3,901_PQ_candidate_eval,Price/cost of Cultured Meat,Techno-economic analysis/BOTEC,"Techno-economic analysis,Bioreactor design,General cell agriculture knowledge",Ash Meader,74%,"AM: This is a relatively early (2020) TEA that appears to have been foundational to some of the other studies listed here. This publication also offers an interactive model (linked in the paper’s conclusion) for calculating the cost of CM based on various factors like bioreactor volume, media costs, etc. However, given that several TEAs have been conducted more recently, and other studies have already reviewed this particular paper, it is perhaps less valuable for The Unjournal to evaluate.",,,,,
TEA of cultivated meat. Future projections for different scenarios,Cell-cultured meat cost and price,https://cedelft.eu/wp-content/uploads/sites/2/2021/02/CE_Delft_190254_TEA_of_Cultivated_Meat_FINAL_corrigendum.pdf,901_PQ_candidate_eval,Price/cost of Cultured Meat,Techno-economic analysis/BOTEC,"Techno-economic analysis,General cell agriculture knowledge",Ash Meader,72%,"AM: This is another one of the TEAs discussed in Dullaghan & Zhang’s review, and as such there may be less value in evaluating this one specifically. ",,,,,
A Beefy-R culture medium: Replacing albumin with rapeseed protein isolates,Cell-cultured meat cost and price,https://pmc.ncbi.nlm.nih.gov/articles/PMC10111969/,901_PQ_candidate_eval,Price/cost of Cultured Meat,Laboratory Experiments (social sci),Cell engineering,,51%,"AM: Suggested by ES as part of the discussion on albumin. This study demonstrates improved cell growth using an albumin-free medium. Given that albumin might be a significant bottleneck for CM production, this seems like a very significant finding.
DR: Tough for me to prioritize this one, as it’s biology research. Can we/should we get the ‘science’ of this evaluated for its credibility?",,,,,
Anticipated growth factor and recombinant protein costs and volumes necessary for cost-competitive cultivated meat,Cell-cultured meat cost and price,https://gfi.org/wp-content/uploads/2023/01/GFI-report_Anticipated-growth-factor-and-recombinant-protein-costs-and-volumes-necessary-for-cost-competitive-cultivated-meat_2023-1.pdf,901_PQ_candidate_eval,Price/cost of Cultured Meat,Techno-economic analysis/BOTEC,"Techno-economic analysis,General cell agriculture knowledge",,50%,"AM: This was suggested by ES as relevant to our PQ about cultured meat. This report aims to predict the production volume and cost of certain growth factors/media components needed to support a substantial CM industry. It also shows potential avenues for increasing the production capacity of these factors and discusses regulatory challenges. It is an interesting and valuable exercise, but much of the basis for its calculations come from somewhat outdated sources (like the Humbird and CE Delft TEAs). More recent papers that discuss current CM media requirements may be more useful to evaluate.
DR: Given your discussion, I’m rating it as 50%",,,,,
Cultured meat: A comparison of techno-economic analyses,Cell-cultured meat cost and price,https://forum.effectivealtruism.org/posts/y8jHKDkhPXApHp2gb/cultured-meat-a-comparison-of-techno-economic-analyses,901_PQ_candidate_eval,Price/cost of Cultured Meat,Systematic Review,"Techno-economic analysis,General cell agriculture knowledge",david reinstein,,,,,,Web page/informal post,
Forecasts estimate limited cultured meat production through 2050 (EA forum post),Cell-cultured meat cost and price,https://rethinkpriorities.org/research-area/forecasts-estimate-limited-cultured-meat-production-through-2050/,"50_published evaluations (on PubPub, by Unjournal)",Cultured meat production volume,Forecasting,"Techno-economic analysis,Forecasting,General cell agriculture knowledge",david reinstein,,,,,,Web page/informal post,
Towards cost-effective and sustainable media formulations for cellular agriculture,Cell-cultured meat cost and price,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5310265,901_PQ_candidate_eval,Price/cost of Cultured Meat,Systematic Review,Cell engineering,,,Suggested by ES — needs consideration,,,,,
Exploring cost reduction strategies for serum free media development,Cell-cultured meat cost and price,https://www.nature.com/articles/s41538-024-00352-0,901_PQ_candidate_eval,Price/cost of Cultured Meat,Systematic Review,Cell engineering,,,"AM: Suggested by ES as an up-to-date source about current cell media innovations. This is a useful review of the current strategies being explored to reduce the production cost of CM. Given that it is mostly a summary rather than an original experiment/analysis, perhaps it is not the strongest candidate for evaluation. Even so, it is very helpful for understanding the current state of the field regarding cell media. ",,,,,
Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat,Cell-cultured meat cost and price,https://www.nature.com/articles/s42003-022-03423-8,901_PQ_candidate_eval,Price/cost of Cultured Meat,Laboratory Experiments (social sci),Cell engineering,,,AM: Recommended by ES as part of the discussion around current cell media costs and components. This study shows positive results when adapting a low-cost cell media formulation to be suitable for bovine satellite cells.,,,,,
Unlocking the potential of cultivated meat through cell line engineering,Cell-cultured meat cost and price,https://www.sciencedirect.com/science/article/pii/S2589004224021023,901_PQ_candidate_eval,Discussion and synthesis,Systematic Review,Cell engineering,,,"AM: Suggested by ES as part of the discussion around genetic engineering of cell lines. This source claims that engineering will likely be necessary for overcoming inherent limitations of animal cell growth in industrial reactors. Evaluation may help assess how much we should focus on cell engineering versus other cost reduction strategies. ",,,,,